State,District,"Dealer Name","Dealer Address","Contact Person","Mobile Number","Email ID"
Kerala,Trivandrum,"KONARK WINDOW SOLUTIONS","KONARK WINDOW SOLUTIONS,  NEAR SHARJAH TOWER, PPXIV/747-A,  MC ROAD, KILIMANOOR PO ,  TRIVANDRUM, PIN 695601",Jayapraksh,9446045300,konarkwin.doors@gmail.com
Kerala,Malapuram,"Protech Trading","M.M Building, Door No.5/115 B, Peruvazhiyambalam, Tirur -Tanur Road, P.O Pookayil Bazar, Tirur, Malappuram","Mohammed Shafeeq",9995615461,protech.trd@gmail.com
Kerala,Palakkad,"Pravesh innovations","Ottapalam, Brothers Arcade 6/795, Manissery, Kerala 680521",Deepak,8590070048,praveshinnovations@gmail.com
Kerala,Palakkad,"Malabar steels","Near Pazheri Petrol Pump, Kodathippadi, Mannarkkad, Kerala 678582",Sabu,7559942879,sabuelavungal@gmail.com
Kerala,Kollam,"Heaven Doors","Heaven Door,Mamoodu, Chandanathope, Kollam, Kerala 691014",Stanley,8281067025 ,tandbbuilders9097@gmail.com
Kerala,"Cochin (Kochi)","PRABHU Steels ","VI/963, Opp. Thrikkakara Temple, BMC P. O., Thrikkakara Kochi Kerala - 682021 Cochin (Kochi) Kerala 682021","Manoj Prabhu",2000000096,NULL
Kerala,Malappuram,"Zain Creations","2/419-B6 Parvath Building, Machester Road, Near Nooradi Bridge, Nooradi,Malappuram.Pin-676504","Aboobacker M",9539947249," ZainCreationIndia@gmail.com"
"Madhya Pradesh",Indore,"Bajaj &amp; Sons","BAJAJ CORPORATE HOUSE 153-C-S-3, Scheme No 78 - III, near Bank Of India, Vijay Nagar, Indore, Madhya Pradesh 452010","Mr. Mayank Bajaj",9630002829,mayank.1208d@gmail.com
"Madhya Pradesh",Indore,"Satya Shree Furniture &amp; Decorators","118-119, Labriya Bheru, Opposite Kastur Cinema Hall, Dhar Road, Indore-452002","Mr. Lalit Dawar",9424053959,lalitdawar2012@gmail.com
"Madhya Pradesh",Ujjain,"Jyoti Traders","A/14 Pragati Nagar, Sanwer Road, Nanakheda Opposite Bharat Petroleum, Ujjain - 456010","Mr. Rajendra Singh",9826018740,rajendrasingh98260@gmail.com
"Madhya Pradesh","Manasa (Neemuch)","Prajapati Traders","Opposite Balaji Temple, Rampura Road, Manasa, District- Neemuch - 458110","Mr. Jitendra Prajapati",9977477633,jitendraprajapatim@gmail.com
"Madhya Pradesh",Jabalpur,"BMW Vyapar Pvt. Ltd","Gram Khairi , Karonda Nala Bypass , Maharajpur, Jabalpur - 482004","Mr. Anubhav Kishorpuria",8226072222,anubhav@bmwvyapar.com
"Madhya Pradesh",Indore,Starlite,"Shop No. 62, Siyaganj, Indore, 452007","Mr Mustufa",9893291135,786col@gmail.com
"Madhya Pradesh",Indore,Aesterno,"41-42, PU4, AB Road, Behind C21 mall, Scheme no 54, Indore MP","Piyush Porwal",9827555567,k.p.salesidr@gmail.com
"Madhya Pradesh",Ratlam,"Vaibhav Traders","old neemuch bypass road,ratlam, MP","Vaibhav kataria",7000751558,firmVaibhavEnterprises@gmail.com
"Madhya Pradesh",Khargone,"Kailash chand madanlal","indore diversion road, khargone","Vijay mahajan",9425087176,kailash.madanlal@gmail.com
"Madhya Pradesh",Bhopal,"Shri Ganpati Infratech","Plot No.33 Rohit nagar Phase -1,Bawadiya Kalan, Bhopal - 462039","Mr. Yogesh Kumar Panday",8889325289,ganpatiperma@gmail.com
"Madhya Pradesh",Gwalior,"Sanskar Kitchen","D 25 Basant Vihar Mail Road, Gwalior- 474002","Mr. Nilesh Sharma",9826246660,sunny_200770@yahoo.com
"Madhya Pradesh",Betul,"Anvi Interio Infra","GF Shop 01, Opposite Sonalika Tractor Showroom, Badora, Betul. Madhya Pradesh.  460001","Deepak Barde",9770904484,anviinterioinfra@gmail.com
Maharashtra,Mumbai,"Indu Corporation Pvt Ltd.","Nishuvi, 4th Floor, 75. Dr. A.B.Road,Worli, Mumbai-400018","Aadesh Temkar",7738831444,aadesh.temkar@inducorp.co.in
Maharashtra,Nagpur,"Sai Enterprises","C/o Patil Traders , Koradi Road, Mankapur Square, Mankapur, Nagpur-440030","Sandeeep Patil",9420177708,patiltraders1991@gmail.com
Maharashtra,Nagpur,"Vidharbha Steel and Hardware","3 , Manewada Cement Road, Mahalaxmi Nagar - 440024","Sanjay Khapekar",9270978400,vidarbhacement15@gmail.com
Maharashtra,Nagpur,"SM Trading Company","Mangal Wari Complex, JB Wing , Sadar, Nagpur - 440001","Nishikant ",9822473020,mathew.sino@gmail.com
Maharashtra,Amravati,"Cash Market","Opp New Cotton Market, Beside Petrol Pump, Amravati - 444603","Rajesh Amlani ",9422880017,acashmarket@gmail.com
Maharashtra,Gondia,"Harsh Steel","Near Sai Baba Weigh Bridge , Amgaon Road , Gondia - 441601","Sanjay Roongta",720442601,harshsteels01@gmail.com
Maharashtra,Nagpur,"R P Agrawal &amp; Sons","R P Agrawal &amp; Sons, Amravati Road, Wadi, Nagpur - 440023","Akshay Agrawal",8975848006,akshay_1672@yahoo.co.in
Maharashtra,Nanded,"Hind Agencies","Near Wamanrao Pawde Mangal Karyalaya , Purna Road , Nanded - 431606","Ganesh Rao Warje",9850557706,vishuash@yahoo.com
Maharashtra,Beed,"Satish Traders","Satish Traders, Near Central bank of india, Swata, Mali Chowk , Mondha Road , Beed- 431122","Akshay Yadav",9881307530,sdandure@gmail.com
Maharashtra,Parbhani,"Jagdamba Traders","M/s Jagdamba Traders, Near Agricultural University Gate (Kali Kaman) , Mathura Nagar Corner, Basmat Road, Parbhani - 431401","Sandesh ",9067737952,jagdamba@gmail.com
Maharashtra,Ahmednagar,"Sangamner Agri Produce Transport Co. Pvt. Ltd.","Opp. Dental College, Sangamner 422605 ","Mr. Ghodge Sir",9850596272,sangamnershampro10@gmail.com
Maharashtra,Ahmednagar,"Modern RCC Line Work","Near Premdan Chauk, Ahemadnagar 414003","Mr. Devang Parikh",9422080665,devang.parekh11@gmail.com
Maharashtra,Ahmednagar,"Guru Dev Datta Traders","At Post Guha, Rahuri, 413706","Mr. Shelar",9975211699,sudhakargshelar@gmail.com
Maharashtra,Nasik,"Patel Agency","Near Hotel Asara, Kopargaon Road, Yevla, 423401","Mr. Lalit Patel",7378753787,patellalits@gmail.com
Maharashtra,Nasik,"M/s Bhamre Traders","DGB Nagar, Kamathwade, Nasik, 422008","Mr.Vilas Bhamare",9422267603,bhamaretraders333@gmail.com
Maharashtra,Raigadh,"Geetali Traders","At Post Mangaon, Nijampur Road, Raigad, 402104","Mr.Girish Wadke",9423234507,geetali.traders@gmail.com
Maharashtra,"Sangli ","Ramdeo Steel ","Satara Road, Near Hotel Sanskruti, Jath, 416404","Meghraj Shetaji",9423356060,ramdeosteel@gmail.com
Maharashtra,"Sangli ","Dyneshwar Bamboo Merchant","Sangli - Peth Road, Islampur - 415409","Mangesh Salunkhe",9921070349,ckdps2056m@gmail.com
Maharashtra,"Sangli ","Alij Traders","Timber Area, Miraj - 416410","Navid Hangad",9822129114,tofiklangardar@gmail.com
Maharashtra,Kolhapur,"Tribhuvane Traders","Amboli Road, Ajara, Kolhapur - 416505","Mayur Tribhuvane",9423824836,tritraders2003@gmail.com
Maharashtra,Kolhapur,"Malhari Traders","Market Yard, Gadhinglaj 416502","Dayanand Sambhaji",9420011191,NA
Maharashtra,Pune,"Ganesh Traders ","C/O Yahshwant Pawar, At Post, Wathar Station, Satara 415524","Yashvant Pawar",9975272727,yashwantpawar@978@gmail.com
Maharashtra,Pune,"Sai Steel","Sai Wieght Bridge, Panjim - Pune Higway, Karaswada, Mapusa, Goa 403526","Piyush Patel","9822125242 / 9607958544",bhagwatisteelgoa@yahoo.com
Maharashtra,Aurangabad,"Satyam Traders","Sinha College More, Aurangabad - 824101","Manoj Kumar Singh",9931076886,manojljp5@gmail.com
Maharashtra,Nasik,"Sadashiv Steel","'Sukrut', Vaida Nagar Nasik Pune Road, Nasik - 422011","Mr. Pradeep Pavgi",9822289687,pspavagi@yahoo.in
Maharashtra,Pune,"B Odhavji &amp; Co.","B202, The Orion, Koregaon Park Pune - 411001","Mr. Pinank Valia",7507722158,pinank@bodhavji.com
Maharashtra,Kupwad,"Krishna Traders Sheet Division","E - 1/5, MIDC, Kupwad - 416436","Mr. Sachin Dole",8485847290,sanktsteel@gmail.com
Maharashtra,Bhandara,"S M Traders","1, Friends Colony, Khat road, Bhandara 441904","Mr. Sijo Mathews",9822473020,smsijo@gmail.com
Maharashtra,Nanded,"Hind Agencies","Near Wamanrao Pawde Mangal Karyalaya, Purna Road, Nanded - 431606","Mr. Vishal Lokhande",9881164414,vishuash@yahoo.com
Maharashtra,Sangli,"Sangli Ceramica","222/3, Plot No. 7, Casa Sawant, Kolhapur road, Sangli 416416","Sam Michael/ Pawan Sharma","9284632524 / 8483904909/ 9373450075",sangliceramica@gmail.com
Maharashtra,Sangli,"Hubale Building Solution","25B, MIDC, Bahe Road, Ismalpur, Tal. Walwa, Dist. Sangli 415409","Prashant Uttam Pawane",9324476757,hbs01012021@gmail.com
Maharashtra,Beed,"Kadam Agencies","MAHASUL COLONY, OPP Y.C COLLAGE  MAIN ROAD AMBAJOGAI- 431517","Lalasaheb Kadam",9420278425,kadamtraders2004@gmail.com
Maharashtra,Nagpur,"S M Traders","JB Wing, Mangalwari complex Nagpur Maharashtra 440001","Sino Mathew",9112248082,mathew.sino@gmail.com
Nagaland,Dimapur,"Essential Hardware","Lovi complex, Essential Hardware, Burma camp, Walford road, Dimapur, Nagaland- 797116","Hustoshe Awomi",8974006721,hutosheawomi@gmail.com
Odisha,Koraput,"Sri Gurpteswar Hardwares","Main Road, Near Gangamaa Temple, Similiguda, Koraput, Odisha, PIN-764036","Subrat Kumar Nayak",9777777108,sgsagency2@gmail.com
Odisha,Raygada,"Gauri Shankar Agencies","Main Road, Devdola, JK Pur, Rayagada, Odisha, PIN- 765017","G Nandikeswar Rao",9040993818,nandikeswarrao21@gmail.com
Odisha,Berhampur,"Sahu Enterprises","Main Road, Hunjilicut, Ganjam, Odisha, PIN- 761102","Rabindranatrh Sahu",9437217180,sahuenterprises17180@gmail.com
Odisha,Cuttack,"Reliance Supplier","Maahatab Nagar, Bidanasi, Cuttack - 753002","Debdas Pati",9437028667,d.pati@yahoo.co.in
Odisha,Sambalpur,"Mangeram Satyanarayan","Bypass Road, Kuchinda - 768222",Satyanarayan,9437059741,agrawallarajesh16@gmail.com
Odisha,Balesore,"Gangadhar H/W","Ganuganj, Remuna Golei, Balasore - 756019","Manoranjan Rout",9437266290,gangadharhwstore@gmail.com
Odisha,Keonjhar,"NK Iron","Mining Rod, Keonjhar - 758091","Naveen Lohani",9437084601,nkironsteel@gmail.com
Odisha,Angul,"Ganesh Enterprise","Hakim Pada, Angul - 759143","Jiten Polar",9861144121,jiten.palar@gmail.com
Odisha,Jajpur,Banadurga,"Routrapur, Jajpur - 755001","Rakesh Samant",7735322772,banadurgajajpur@yahoo.in
Odisha,Bhubaneswar,"The Flair","Patrapada, Bhubaneswar - 751019","Anil Khemani",9437961025,khemanianil@gmail.com
Odisha,Debgarh,"Chakadola Enerprises","Court Chakka, Debgarh - 768108","Barada Mishra",9437389944,baradakantamishra@gmail.com
Odisha,"Mayurbhanj ","Pramila Enterprises","Kaptipada Road,Udala, Mayurbhanj - 757041","Biswajit Paramanik",9437878981,abhijit.pramanik92@gmail.com
Odisha,Jajpur,"Maa Trader","Chorda Bypass, Jajpur Road - 755019","Sandeep Sahoo",9438140396,maatradersjkroad@gmail.com
Odisha,Jajpur,"Urban Livin","Saheed Nagar, Bhubaneswar - 751007","Timir Patra",7008293218,urbanlivin@gmail.com
Odisha,Berhampur,"Kausalya Agencies","Big Bazaar, Adamji Lane, Berhampur, Odisha, Pin - 760002","Mr. JVN Anil Kumar",9437061727,aniljvn@gmail.com
Odisha,Bhubaneswar,"Deson Marketing, Odisha","Zone A, S75/1, Mancheswar Industrial Estate, Bhubaneswar, 751010","Mr. Souptik De","7063599126, 9658707656",souptik@desonmarketing.com
Odisha,Keonjhar,"NK IRON &amp; STEEL","Mining Road, Keonjhar Keonjhar Odisha 758091","Naveen Lohani",9437084601,nkironsteel@gmail.com
Odisha,Angul,"GANESH ENTERPRISES","At/Po- Hakimpada, Dist- Angul Angul Odisha 759143","Jiten Palar",9861144121,jiten.palar@gmail.com
Punjab,Jalandhar,"Bilga Iron Store","Bilga Iron, Near Wadala Chowk, Nakoder Road, Jalandhar","Mr. Sachin Sharma",98141-14454,bilga1987@gmail.com
Punjab,Amritsar,"Ganesh Iron Store","Shop No. 1-A, Ajnala Road, Amritsar, Punjab","Mr. Deepak Mahajan",95360-03019,ganeshironstore32@gmail.com
Punjab,Ludhiana,"Aman Industries ","B-XIX-860, Ahsan Road, Civil Lines, Ludhiana, Punjab","Mr. Aman Soni",98148-25100,soniaman528@gmail.com
Punjab,Bhatinda,"JRK Kitchen Swarg","JRK Kitchen Swarg, Near Kabir Medical, Hex 17190 A, Aggarwal Colony, 40 Feet Road, Bathinda-151001","Mr. Chintu Garg",95692-10092,info.jrkkitchen@gmail.com
Punjab,Jalandhar,"Bilga Iron ","Near Wadala Chowk, Nakodar Road Jalandhar Punjab 144003","Mr. Sachin Sharma",9814114454,bilga1987@gmail.com
"Tamil Nadu",Erode,"Foursquare Fenestrattion","95, Sangu Nagar Main Road, Palayapalayam, Erode 638011","Nandhakhumar MV",9600996002,foursquarefabworks@gmail.com
"Tamil Nadu",Coimbatore,"Eliim Construction Pvt Ltd","1/380, LAKSHMI NAGAR, K.VADAMADURAI POST, COIMBATORE 641017","Vinothkumar P",8973085500,eliimpvtltd@gmail.com
"Tamil Nadu",Salem,"Indo steel company","2/5-1,Namakkal bye pass road, Amani kondalampatti, Salem - 636010","Syed Mohammed",8248508105,indosteel786@gmail.com
"Tamil Nadu",Coimbatore,"Lakshmi Ceeramics","21 Cowley Brown Road, RS Puram, Coimbatore 641002","Ramasamy S",9655170955,rm.tata@lakshmiceramics.in
"Tamil Nadu",Coimbatore,"Lakshmi Ceeramics","321, Mettupalayam Road,Opp. Murugan Mills, Coimbatore 641043","Ramasamy S",9655170955,rm.tata@lakshmiceramics.in
"Tamil Nadu",Coimbatore,"Lakshmi Ceeramics","2254, Trichy Road, Singanallur, Coimbatore 641005","Ramasamy S",9655170955,rm.tata@lakshmiceramics.in
"Tamil Nadu",Chennai,"Jain Steel India Corp","17, 225, Velachery Main Rd, Ram Nagar, Karnam Street, Dhadeswaram Nagar, Velachery, Chennai, Tamil Nadu 600042","Rohit Jain",2000000096,NULL
"Tamil Nadu",Chennai,"JAIN INDIA STEELCOORP PVT LTD","17/225,Velachery Main Road,Karanam Street,Velachery East,Tamil Nadu - 600042 Chennai ","Mr.Rohit  Jain",1212342345,mis2.tn@jainsteelgroup.com
Tamilnadu,Velachery,"Jain Steel India Corporation","17, 225, Velachery Main Road, Ram Nagar, Karnam Street, Dhadeswaram Nagar, Velachery, Chennai, Tamil Nadu - 600042","Mr. Rohit Jain",9849911288,rohitjain@jainsteelgroup.com
TAMILNADU,THANJAVUR,"FORTUNE HOMES","NO.7, SAFA COMPLEX, 1ST FLOOR, SELVAM NAGAR, MEDICAL COLLEGE ROAD, THANJAVUR - 613007","VIJAYA SARAVANAN V",9443482222,thefortunehomes@gmail.com
TELANGANA,"Ranga Reddy","Wonder Makers Infra Solutions","SHOP NO 3, 1STFLOOR,22-194/8,RALLAGUDA ROAD,OPP.SUB-REGISTER OFFICE, SHAMSHABAD, R R DIST,TG-501218",Premraj,9030834888,wondermakersinfra@gmail.com
TELANGANA,"Ranga Reddy","SSV Engineering Solutions","PLOT NO-29 PART, THATTIANNARAM (V), ABDULLAPURMET, RANGAREDDY, TG - 500068",Srinivas,7013971161,Ssvtatapravesh@gmail.com
TELANGANA,Malikajgiri,"Sree Sai Balaji Enterprises","H.NO-1-115, SAI BABA NAGAR, BOLLARAM RD, KOMPALLY, QUTHBULLAPUR,MEDCHAL-MALKAJGIRI, TG - 500055","Sainath Reddy",9966529097,sreesaibalaji449@gmail.com
TELANGANA,Kothagudem,"Sri Venkateshwara Housing Solutions","3-2-204,1,beside RK SUPERMARKET ,near GV mall,vidyanager cplpny ,kothagudem ,Telangana 507101",Sheker,9704842256,Shekarbollu1998@gmail.com
TELANGANA,Warangal,"Dandu Ceramics","1 1 672/1 SHOP NO 1, SIDDARTH NAGAR, KAZIPET, WARANGAL URBAN DIST, TG - 506003",Subbaraju,9849326343,Subbarajusuhas@gmail.com
TELANGANA,Wanaparthy,"Srinivasa Enterprises","42-225/1/C, RTC COLONY, WANAPARTHY, TG - 509103",Srinivas,9949765467,"Jaineesreenivas@gmail.com; tatadoorswanaparthy@gmail.com"
TELANGANA,Gadwal,"Rida Enterprises","1-6-79/MIG, HOUSING BOARD COLONY, GADWAL, JOGULAMBA, TG - 509125","Syed Riyazuddin",9989135696,syedriyaz446@gmail.com
TELANGANA,Mahabubnagar,"Sri Rama Traders","10/5/84/3/A/1, SANTHOSH NAGAR COLONY, SRINIVASA COLONY, YENUGONDA, MAHABUBNAGAR, TG-509001",Praveen,9491630031,sriramatraders.pravesh@gmail.com
TELANGANA,Karimnagar,"Eashwari Traders","Government High School, 9-4-460/3, SAPATHAGIRI COLONY, Karimnagar, Karimnagar, Telangana, 505001","VAMSHI KRISHNA",9989156188,vamshikrishna.chakilam@gmail.com
TELANGANA,Nizamabad,"S.R .Building Materials","near Manikbandar villege x roads,beside hungrilla drive inn ,armoor road,Nizambad -503003","MRS.SHARADA REDDY",9640225599,SRBUILDINGMATERIALS1@GMAIL.COM
TELANGANA,Janagoan,"Usha Enter Prises","4-5-59/21/A,HNK ROAD,JANGOAN, OPP PRISTAN SCHOOL TG - 506167",Kumar,9848535014,kumar.kandukuri1@gmail.com
TELANGANA,"Bhadradri Kothagudem",SRKEnterprises,"D.NO.15-55,opp:ttd kalyana manadapam,vemsoor road,Sathupally 507303.","Srikanth Reddy",9963668677,srkenterprisesspl@gmail.com
TELANGANA,Hyderabad,"Samrat Iron Pvt Ltd","H.No.8-2-601/A/1/1&amp;8-2-603/B/1,4th floor,Banjara Hills,Road No.10- 500034",,,
UP,Lucknow,"Narayan Traders","Bappa complex, Shop No.2, Ahimamau Opposite Best Price, near Janta Dhaba Lucknow - 226002 ","Mr-Sarwesh Mishra","8400274383/ 9125635027",narayantradersdw@gmail.com
UP,Chandauli,"Amit Associates","Beside Laxmikamal Lawn, Opp IP Mall, Chandhasi, Mughalsarai, chandauli , Pin-232101",Amit,"9919768000 and 7080995909",amitassociatesmgs@gmail.com
"Uttar Pradesh",Aligarh,"Surender Kumar, Ratan Kumar","Agra Road, Sasni gate, Aligarh-202001","Tarun Varshney",9837290071,tata_tiscon2009@rediffmail.com
"Uttar Pradesh","J P Nagar","Ashu Enterprises","Kavi Nagar, Near Police Station, Bijnor Road, Gajraula, Amroha-244235","Ashish Pushkar",9536381181,pushkar.ashish@gmail.com
"Uttar Pradesh",Aligarh,"Hari Shanker Agarwal","13/05, Mammu Bhanja Road, Aligarh-202002","Gaurav Agarwal",9927065001,amit05480@gmail.com
"Uttar Pradesh",Noida,"The Build Shoppe","Main Road, Hoshiyarpur, Sec-51, Noida-201301  (Near Shivalik Hospital)","Gajendra Kumar  Gandhi",9811083896,thebuildshoppe@gmail.com
"Uttar Pradesh",Varanasi,"Shri Ram Iron Stores","Paharia, Sarnath Road, Varanasi-221007","Rajkumar Yadav",9415447483,sreeramironstores.vns@rediffmail.com
"Uttar Pradesh",Lucknow,"Bharat Constructions","Shop No. 4, 727, Virat Khand Road, Vijayant Khand, Gomti Nagar, Lucknow-26010","Manish Ladkani",9415011084,ladkanimanish@yahoo.in
"Uttar Pradesh",Lucknow,"P.D. Steels","G-36, Transport Nagar, Kanpur Road, Lucknow, Kanpur Road-226012","Prashant Talreja",9930706073,pdsteelslucknow@gmail.com
"Uttar Pradesh",Lucknow,"U.P Timber","631/7, Sandhya Puri, Ismailganj, Faizabad Road-226016","Mischel Khan",7706003791,info@uptimberstores.com
"Uttar Pradesh",Gorakhpur,"Divya Enterprises","Ranidiha, Near Engg. College 273010","Devendra Pratap Singh",7706900032,divya.enterprisesgkp@gmail.com
"Uttar Pradesh",Azamgarh,"Anuj Enterprises","Harbanspur, Opposite Honda Showroom, Azamgarh-276001","Arun kumar Prajapati",9838624764,arunkumarprajapati.1968@gmail.com
"Uttar Pradesh",Faizabad,"Saroj and Sons","Near Eye Hospital, Sahabganj , Faizabad-224001","Vimal Jaiswal",9453516901,vimaljaiswal.tiscon@rediffmail.com
"Uttar Pradesh",Kanpur,"Radhe &amp; Co","126/5/6 Vidhyarthi Market (Milan Band Wali Gali), Govind Nagar, Kanpur208006","Radhe Mohan ",9450414049,radha.mohantata88@gmail.com
"Uttar Pradesh",Agra,"Bidhi Chand Agrawal &amp; Sons","Madia Katra, Near Petrol Pump Agra-282001`","Puneet Agarwal",9837035708,nitinparthagarwal@gmail.com
"Uttar Pradesh",Ghaziabad,"Neelkanth Steel &amp; Alloys","E-45, Bulandshahr Industrial Area Road, Ghaziabad- 201001","Mr. Rajat Bansal",9811022458,rajat.bansal@vikrantgroup.in
"Uttar Pradesh",Kanpur,"Kishan Lal Pawan Kumar Jain (KLPK)","113/4 Plot NO.C/D Swaroop Nagar Kanpur-208002","Mr. Ajai Jain",9307535601,kpjkanpurin@hotmail.com
"Uttar Pradesh",Agra,"Bansal Wood Décor","21/18, Freeganj, Agra-282004","Nidhi Bansal",9837027055,bansalvikas74@gmail.com
"Uttar Pradesh",VARANASI,"Shri Aditi Enterprise Pvt Ltd","usarpurwa,   Shivpur by pass, below tarna flyover, NH 31,   Babatpur road , Shivpur,   VARANASI -221003.","G P Singh",8452074669,shriaditi08@gmail.com
"Uttar Pradesh",VARANASI,"PRADEEP STEELS","C 30/35-C 2 LOHAMANDI MALDHIYA VARANASI   PIN - 221002","PRADEEP AGRAHARI",9839093699,
"Uttar Pradesh",Kanpur,"Vorja interio pvt ltd","LIG 110, Barra 2 , kanpur , Uttar Pradesh.  Pin code 208027","Mr Vikas sharma",8896778899,
"Uttar Pradesh","Ambedkar Nagar","Vasundhara Enterprises","Near Police Line,  Akbarpur, Ambedkar Nagar,  Uttar Pradesh Pin - 224122   Mob 9889863733","Mr Akliesh gupta ",9889863733,akg9786spg@gmail.com
"Uttar Pradesh",Basti,"Chaudhary Building Materials","Station Road Basti, Uttar Pradesh - 272002","Mr. Phoolchand Chaudhary",9415037462,pc.chaudhary14@gmail.com
"Uttar Pradesh",Etawah,"Luthra Steel traders","Ashok Nagar, Etawah, Uttar Pradesh -206001","Mr. Rishabh Luthra",9412185658,
"Uttar Pradesh",Pratapgarh,"Mangraura Cement Agency","Kohandaur Bazar, Pratapgarh, Uttar Pradesh - 230401","Mr. Nijamuddin",9918544322,
"Uttar Pradesh",Kushinagar,"Meraj Traders","Padrauna Road, Kasya, Kushinagar, Uttar Pradesh -274303","Mr. Meraj Ahmad",9838266369,
"Uttar Pradesh",Bareilly,"Shri Ganesh Steels","Pashupati Vihar Colony, Pilibhit By Pass Road, University road Bareilly - 243005","Mr. Amal Aggarwal",9911957866,amal.agrwl@gmail.com
"Uttar Pradesh",Muzaffarnagar,"Shri Radha Vallabh Traders","HO-15 State Bank Colony, Jansath Road, Muzaffarnagar - 251001","Mr. Sachin Goel",9149182615,sachingoel.sd@gmail.com
"Uttar Pradesh",Bilsanda,"Shri Ram Cement Agency","10 House no-17 Mohalla Hathikhana, Bilsanda, Pilibhit - 262202","Mr. Harshit Gupta",7302401452,harshitgupta3297@gmail.com
"Uttar Pradesh",Ghaziabad,"Radha Krishna Traders","Building No-406, Hari Complex, Nand gram road, ghaziabad - 201001","Anil Singh",9810815184,radhakrishna.pravesh@gmail.com
"Uttar Pradesh",Prayagraj,"K P Jaiswal Cement Agency","Address- 23/ 47/ 101, Kidwai Nagar Labour Chauraha,Near SBI Bank Allahpur, Prayagraj, Uttar Pradesh- 211006","Ashutosh Jaiswal",9473626765/9453010714,Ashutoshjaiswal1@gmail.com
"Uttar Pradesh",Prayagraj,"Shiv Ram Kesarwani","Mansoorabad, Prayagraj (UP)-228411","Rahul Kesarwani",9919656523/7355054704,rahulkesarwani53@gmail.com
"Uttar Pradesh",DEORIA,"Meeraj Traders","Kasada Chowk,Kasia Bazar(UP)-274402","Meraj Alam",9519235742/7800621753,merajtraders786@gmail.com
"Uttar Pradesh",Varanasi,"Sri jagadamba Cement Store","B30/2-A-5 Pandit Madan Mohan Malviya Marg,Assi Road near Ravidas gate,Lanka, Varanasi-221005",Deepak,6390909358,adavrajkumar4142@gmail.com
"Uttar Pradesh",Lucknow,"Narayan Trders","Bappa complex, Shop No.2, Ahimamau Opposite Best Price, near Janta Dhaba Lucknow 226002 ","Mr-Sarwesh Mishra","8400274383/ 9125635027",narayantradersdw@gmail.com
"Uttar Pradesh",Banda,"Payodhi Enterprises","H.no 15 sarvodaya nagar chilla road Banda","Prajjwal rasinia ",8840304085,prajjwalrasinia9454@gmail.com
"Uttar Pradesh",Chitrakut,"Payodhi Enterprises","Bedi puliya chowk opposit HP petrol pump Chitrakoot dham karwi","Mayank rasinia ",7836810117,Mayankrasinia@gmail.com
"Uttar Pradesh",Barabanki,"Chandu Rolling Shutter","Malgodam Road Barabanki","Chandra Prakash Singh",7376058993/9628459239,chadurollingshutter20@gmail.com/www.chandurollingshutter.in
"Uttar Pradesh",Basti,"Chaudhary Building Materia","Station Road , Basti Khas, Basti","Mr. Phoolchand",9415037462,pc.chaudhary14@gmail.com
"Uttar Pradesh",Mathura,"Naman Enterprises","Radhika Vihar, Sonkh Road , Mandir chauraha,Mathura","Mr. Ajay Singh",9997052999,shivatraders555@gmail.com
"Uttar Pradesh",Prayagraj,"K P Jaiswal Cement Agency","23/46/101,kidwai nagar labour chouraha,Beside SBI Bank","Mr. Ashutosh jaiswal",9453010714,ashutoshjaiswal1@gmail.com
"Uttar Pradesh",Aligarh,"Surendra Kr. Ratan Kr.","Near Sasni Gate Chauraha, Agra Road, Aligarh,Rawat hospital","Mr.Tarun Kumar",9837290071,tata_tiscon2009@rediffmail.com
"Uttar Pradesh",Aligarh,"M/s Hari Shankar Agarwal","13/05, Mammu Bhanja Road, Aligarh,","Mr. hari Shankar agarwal",9927065001,gaurkesh@gmail.com
"Uttar Pradesh",Noida,"SJN Manufacturing and Services Pvt Ltd","B-10, Upper Ground Floor, Tower-4, NX ONE, Greater Noida West,","Mr. Prasant kumar mishra",9962570257,pkmishras@jngroup.co.in
"Uttar Pradesh",Bijnor,"True Mason Pvt Ltd","Bairaj Road, Shakti Nagar, Bijnor,",,9651622917,
"Uttar Pradesh",Bareilly,"The Kings Door","01, Choti Vihar, Near Dainik Jagran Press, Bareilly,,",,9761462029,
"Uttar Pradesh",Ghaziabad,"Rajat BansaNeelkanth Steel &amp; Alloysl","E-45, Bulandshahr Industrial Area Road, Ghaziabad- 201001 Ghaziabad Uttar Pradesh 201001","Rajat Bansal",9811022458,NULL
"Uttar Pradesh",Pratapgarh,"M/S NARAYAN TRADERS","E-462 SEC-I, , LDA COLONY, Lalganj Ajhara Pratapgarh Uttar Pradesh 230132","Ravi  Dubey",8115111160,NULL
"Uttar Pradesh",Gorakhpur,"M/S Divya Enterprises","Ranidiha, Near Engg. College-273010 Gorakhpur Uttar Pradesh 273010","Devendra Singh",9415212648,divya.enterprisesgkp@gmail.com
Uttarakhand,Dehradun,"Kwality Hardware","Gandhi Road, Near Tehsil Chowk, Dehradun-248001","Sunil Goyal",9837052720,kwalityddn@yahoo.com
Uttarakhand,"Udham Singh Nagar","Ganpati Steel","Near Vim Square, Kichha Road, Rudarpur-248197","Chetan Khurana",9639233000,"Shriganpatisteels@gmail.com "
